wallet,address,total_usd,wallet_tokens_usd,defi_usd,chain_count,chain_breakdown,top_holdings,top_defi
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,10138.16,10138.16,0.0,3,"ethereum:10,137.80 | arbitrum:0.33 | monad:0.03","ETH 3.9040 ($9,710.48) [ethereum]; USDT 349.9114 ($349.77) [ethereum]; USDC 77.5758 ($77.55) [ethereum]; USDC 0.1920 ($0.19) [arbitrum]; USDT0 0.1333 ($0.13) [arbitrum]; MON 1.0000 ($0.03) [monad]; HEX 1.0000 ($0.00) [ethereum]; USDC 0.0009 ($0.00) [base]; ETH 0.0000 ($0.00) [arbitrum]; mUSD 0.0001 ($0.00) [ethereum]",
Brute OTC,0x9244a6962d8f2eefdcfec223f68d83df293d9797,7533.84,7533.84,0.0,2,"ethereum:7,533.75 | arbitrum:0.08","USDT 4,962.3181 ($4,961.91) [ethereum]; USDC 1,621.0347 ($1,620.55) [ethereum]; ETH 0.3655 ($909.15) [ethereum]; PYUSD 42.1575 ($42.14) [ethereum]; USDT0 0.0826 ($0.08) [arbitrum]; USDT 0.0018 ($0.00) [base]; HEX 1.0000 ($0.00) [ethereum]; AVAX 0.0000 ($0.00) [avalanche]; SHIB 4.1175 ($0.00) [ethereum]; PEPE 5.2000 ($0.00) [ethereum]",
SP4-1,0x13c5738200a7ca56c29e5744a3e93f52abd77d7b,33892.7,33892.7,0.0,1,"ethereum:33,892.70","USDT 32,703.5130 ($32,700.82) [ethereum]; USDC 1,180.0000 ($1,179.65) [ethereum]; ETH 0.0049 ($12.23) [ethereum]",
SP4-2,0x31a5817bab67bfeeb0038df2c2e1ede79a00930a,9140.15,9140.15,0.0,2,"ethereum:9,127.70 | binance-smart-chain:12.45","USDT 8,461.7513 ($8,461.05) [ethereum]; PYUSD 651.5239 ($651.25) [ethereum]; ETH 0.0062 ($15.40) [ethereum]; WETH 0.0050 ($12.45) [binance-smart-chain]",
SP4-3,0x691bdfb0c5a8dee9f75de8bc983bde51316eb489,1423.98,1423.98,0.0,1,"ethereum:1,423.98","USDC 1,380.0001 ($1,379.52) [ethereum]; ETH 0.0179 ($44.46) [ethereum]",
SP4-4,0x0828c3d976b837e790715913cc85dbd6237398fb,3998.42,3998.42,0.0,1,"ethereum:3,998.42","USDT 4,000.0000 ($3,998.42) [ethereum]; ETH 0.0000 ($0.00) [ethereum]",
SP4-5,0x79b65b17af2ec4087d0957bcfae172c3c6210312,30010.65,30010.65,0.0,1,"ethereum:30,010.65","USDC 30,014.8540 ($30,004.47) [ethereum]; ETH 0.0025 ($6.18) [ethereum]",
SP4-6,0x82012f9fdddaaf6a8af4ef2b83b1c6ce65debcf1,35234.7,35234.7,0.0,1,"ethereum:35,234.70","USDT 20,728.6400 ($20,726.93) [ethereum]; USDC 14,511.0000 ($14,506.68) [ethereum]; ETH 0.0004 ($1.09) [ethereum]",
SP4-7,0xc4a749d6983bfc2bb958cb32ef9ff9dc18ba81cf,11636.54,11636.54,0.0,1,"ethereum:11,636.54","USDC 11,640.0000 ($11,636.54) [ethereum]",
SP4-8,0xc09da08738b3b0918089163e488b02a61f382404,8194.62,8194.62,0.0,1,"ethereum:8,194.62","USDT 8,183.4021 ($8,182.73) [ethereum]; ETH 0.0048 ($11.89) [ethereum]",
